timestamp	phase	score	words	keep_discard	description
f19c61e	foundation	5.95	0	keep	Iteration 1: score improved 0.0 -> 5.95
5948126	foundation	7.0	0	keep	Iteration 2: score improved 5.95 -> 7.0
a6bfec2	foundation	7.5	0	keep	Iteration 3: score improved 7.0 -> 7.5
discarded	ch01	1.5	109	discard	Chapter 1 attempt 1
discarded	ch01	5.0	172	discard	Chapter 1 attempt 2
b42ef52	ch01	?	172	forced	Chapter 1: kept after max attempts
discarded	ch02	5.0	278	discard	Chapter 2 attempt 1
discarded	ch02	-1.0	925	discard	Chapter 2 attempt 2
4770c2e	ch02	?	925	forced	Chapter 2: kept after max attempts
discarded	ch04	0.0	89	discard	Chapter 4 attempt 3
9fbb5f1	ch12	66.0	309	keep	Chapter 12 (attempt 1)
discarded	ch13	5.0	319	discard	Chapter 13 attempt 1
discarded	ch13	5.0	307	discard	Chapter 13 attempt 2
discarded	ch13	4.5	242	discard	Chapter 13 attempt 3
discarded	ch13	5.0	248	discard	Chapter 13 attempt 4
discarded	ch13	4.8	260	discard	Chapter 13 attempt 5
